,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
360,"[-13, 16, 4, -19, -5, -15, -24, 19, -14, 7, 7]","[-5, 7, -13, 16, 19, -15, 4, -24, -19, 7, -14]","[-11, 18, 6, -17, -3, -13, -22, 21, -12, 9, 9]","[-26, 32, 8, -38, -10, -30, -48, 38, -28, 14, 14]","[-0.07692307692307693, 0.0625, 0.25, -0.05263157894736842, -0.2, -0.06666666666666667, -0.041666666666666664, 0.05263157894736842, -0.07142857142857142, 0.14285714285714285, 0.14285714285714285]","[-13, 16, 4, -19, -5, -15, -24, 19, -14, 7, 2, 7]","[-13, 16, 4, -19, -5, -15, -24, 19, -14, 7]",20,35,24,40,0.3125,20,20,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
361,"[22, 13, -14, -13, 16, 2, 25, 2, -11, -8, 10, 19, 25, 8]","[-14, 22, 2, 2, -11, 10, 19, 25, 8, 25, 13, -8, 16, -13]","[24, 15, -12, -11, 18, 4, 27, 4, -9, -6, 12, 21, 27, 10]","[44, 26, -28, -26, 32, 4, 50, 4, -22, -16, 20, 38, 50, 16]","[0.045454545454545456, 0.07692307692307693, -0.07142857142857142, -0.07692307692307693, 0.0625, 0.5, 0.04, 0.5, -0.09090909090909091, -0.125, 0.1, 0.05263157894736842, 0.04, 0.125]","[22, 13, -14, -13, 16, 2, 25, 2, -11, -8, 10, 19, 25, 2, 8]","[22, 13, -14, 16, 2, 25, 2, -11, -8, 10, 19, 25, 8]",44,44,48,88,0.5625,44,44,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
362,"[25, 19, -1, -27, 28, 9, 21, 21, 6, 15, -12, 19, 4]","[15, 19, 28, 19, 21, 25, 9, 4, 6, -27, 21, -12, -1]","[27, 21, 1, -25, 30, 11, 23, 23, 8, 17, -10, 21, 6]","[50, 38, -2, -54, 56, 18, 42, 42, 12, 30, -24, 38, 8]","[0.04, 0.05263157894736842, -1.0, -0.037037037037037035, 0.03571428571428571, 0.1111111111111111, 0.047619047619047616, 0.047619047619047616, 0.16666666666666666, 0.06666666666666667, -0.08333333333333333, 0.05263157894736842, 0.25]","[25, 19, -1, -27, 28, 9, 21, 21, 6, 15, 2, -12, 19, 4]","[25, 19, -1, -27, 28, 9, 21, 21, 15, -12, 19, 4]",44,47,48,88,0.3026315789473684,44,44,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
363,"[-9, 19]","[19, -9]","[-7, 21]","[-18, 38]","[-0.1111111111111111, 0.05263157894736842]","[-9, 2, 19]",[-9],10,10,14,20,-0.05847953216374269,21,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
364,"[-26, -3, -6, -27, 16, -33, 16]","[-33, 16, -26, 16, -27, -3, -6]","[-24, -1, -4, -25, 18, -31, 18]","[-52, -6, -12, -54, 32, -66, 32]","[-0.038461538461538464, -0.3333333333333333, -0.16666666666666666, -0.037037037037037035, 0.0625, -0.030303030303030304, 0.0625]","[-26, -3, -6, -27, 16, -33, 16, 2]","[-26, -3, -6, 16, -33, 16]",-9,-9,-5,-18,0.032196969696969696,18,10,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
365,[],[],[],[],[],[2],[],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
366,"[3, -13, -2, 15, 14, -11, -16, -17]","[-2, -16, 15, -17, -13, -11, 3, 14]","[5, -11, 0, 17, 16, -9, -14, -15]","[6, -26, -4, 30, 28, -22, -32, -34]","[0.3333333333333333, -0.07692307692307693, -0.5, 0.06666666666666667, 0.07142857142857142, -0.09090909090909091, -0.0625, -0.058823529411764705]","[3, 2, -13, -2, 15, 14, -11, -16, -17]","[3, -13, -2, 15, 14, -11, -17]",29,17,33,58,0.2564102564102564,29,29,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
367,"[-12, 24, 4, 23, -10, 6, 9, 22, -22, -7, 18]","[-7, 6, 9, 18, 4, 22, -12, 23, -22, -10, 24]","[-10, 26, 6, 25, -8, 8, 11, 24, -20, -5, 20]","[-24, 48, 8, 46, -20, 12, 18, 44, -44, -14, 36]","[-0.08333333333333333, 0.041666666666666664, 0.25, 0.043478260869565216, -0.1, 0.16666666666666666, 0.1111111111111111, 0.045454545454545456, -0.045454545454545456, -0.14285714285714285, 0.05555555555555555]","[-12, 24, 4, 23, -10, 2, 6, 9, 22, -22, -7, 18]","[-12, 4, 23, -10, 6, 9, 22, -22, -7, 18]",31,27,35,62,0.2934782608695652,31,31,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
368,"[-21, -16, -8, -5, -1, -25]","[-5, -25, -21, -8, -16, -1]","[-19, -14, -6, -3, 1, -23]","[-42, -32, -16, -10, -2, -50]","[-0.047619047619047616, -0.0625, -0.125, -0.2, -1.0, -0.04]","[-21, -16, -8, 2, -5, -1, -25]","[-16, -8, -5, -1, -25]",-6,-17,-2,-12,-0.11011904761904762,-3,-6,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
369,"[-10, -6, -2, 3, 9]","[-10, -6, 9, -2, 3]","[-8, -4, 0, 5, 11]","[-20, -12, -4, 6, 18]","[-0.1, -0.16666666666666666, -0.5, 0.3333333333333333, 0.1111111111111111]","[-10, -6, 2, -2, 3, 9]","[-10, -6, -2, 3]",12,7,16,24,0.4444444444444444,12,1,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
370,"[15, 16, 6, -2, 5, 4, 18]","[5, 6, 15, 4, -2, 16, 18]","[17, 18, 8, 0, 7, 6, 20]","[30, 32, 12, -4, 10, 8, 36]","[0.06666666666666667, 0.0625, 0.16666666666666666, -0.5, 0.2, 0.25, 0.05555555555555555]","[15, 16, 6, -2, 5, 2, 4, 18]","[15, 16, 6, 5, 4, 18]",31,34,35,62,0.45,31,31,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
371,"[13, -6, 13, -12, 1, -4, -14]","[13, -6, 1, 13, -12, -4, -14]","[15, -4, 15, -10, 3, -2, -12]","[26, -12, 26, -24, 2, -8, -28]","[0.07692307692307693, -0.16666666666666666, 0.07692307692307693, -0.08333333333333333, 1.0, -0.25, -0.07142857142857142]","[13, -6, 13, -12, 1, -4, -14, 2]","[13, -6, 13, 1, -4, -14]",7,14,11,14,0.9166666666666666,7,14,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
372,"[-7, 12, -16, 6, -22, -7, 4]","[-7, 12, 6, -22, -7, -16, 4]","[-5, 14, -14, 8, -20, -5, 6]","[-14, 24, -32, 12, -44, -14, 8]","[-0.14285714285714285, 0.08333333333333333, -0.0625, 0.16666666666666666, -0.045454545454545456, -0.14285714285714285, 0.25]","[-7, 12, -16, 6, -22, -7, 2, 4]","[-7, 12, -16, -22, -7, 4]",5,18,9,10,0.1212121212121212,6,5,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
373,"[-15, -25, -27, 12, 16, -10, 28, -12, 8, -6, 31, 18, 7]","[-6, 31, 18, -10, -12, -27, -15, -25, 12, 7, 8, 28, 16]","[-13, -23, -25, 14, 18, -8, 30, -10, 10, -4, 33, 20, 9]","[-30, -50, -54, 24, 32, -20, 56, -24, 16, -12, 62, 36, 14]","[-0.06666666666666667, -0.04, -0.037037037037037035, 0.08333333333333333, 0.0625, -0.1, 0.03571428571428571, -0.08333333333333333, 0.125, -0.16666666666666666, 0.03225806451612903, 0.05555555555555555, 0.14285714285714285]","[-15, -25, -27, 12, 16, -10, 28, -12, 8, -6, 2, 31, 18, 7]","[-15, -25, -27, 12, 16, -10, 28, -12, 8, -6, 18, 7]",49,49,53,98,0.1984126984126984,49,28,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
374,"[18, -10, -24]","[-24, 18, -10]","[20, -8, -22]","[36, -20, -48]","[0.05555555555555555, -0.1, -0.041666666666666664]","[18, -10, 2, -24]","[18, -24]",8,8,12,16,-0.04444444444444445,8,-6,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
375,"[32, -24, 27, 6, 5, -8]","[32, 5, 6, -8, 27, -24]","[34, -22, 29, 8, 7, -6]","[64, -48, 54, 12, 10, -16]","[0.03125, -0.041666666666666664, 0.037037037037037035, 0.16666666666666666, 0.2, -0.125]","[32, 2, -24, 27, 6, 5, -8]","[32, -24, 6, 5, -8]",33,37,37,66,0.3666666666666667,34,11,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
376,"[-11, -22, 14, 19, -25, -13]","[-11, 14, -25, -22, -13, 19]","[-9, -20, 16, 21, -23, -11]","[-22, -44, 28, 38, -50, -26]","[-0.09090909090909091, -0.045454545454545456, 0.07142857142857142, 0.05263157894736842, -0.04, -0.07692307692307693]","[-11, -22, 14, 19, -25, -13, 2]","[-11, -22, 14, -25, -13]",33,6,37,66,0.12406015037593984,33,-8,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
377,"[10, -20, -13, -21, -30, 9]","[-30, -21, -20, -13, 9, 10]","[12, -18, -11, -19, -28, 11]","[20, -40, -26, -42, -60, 18]","[0.1, -0.05, -0.07692307692307693, -0.047619047619047616, -0.03333333333333333, 0.1111111111111111]","[10, -20, -13, -21, -30, 9, 2]","[10, -13, -21, -30, 9]",-10,19,-6,-20,0.07777777777777778,11,-3,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
378,"[13, 29, -15, -2, 25, 24, 12]","[-2, 25, -15, 12, 24, 29, 13]","[15, 31, -13, 0, 27, 26, 14]","[26, 58, -30, -4, 50, 48, 24]","[0.07692307692307693, 0.034482758620689655, -0.06666666666666667, -0.5, 0.04, 0.041666666666666664, 0.08333333333333333]","[13, 29, -15, -2, 25, 24, 2, 12]","[13, 29, -2, 25, 24, 12]",49,53,53,98,0.125,49,49,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
379,"[0, 8, -14, -12, 3, -5, 12, -1, -5, 6]","[0, 3, -12, -5, 8, -14, 6, -1, -5, 12]","[2, 10, -12, -10, 5, -3, 14, 1, -3, 8]","[0, 16, -28, -24, 6, -10, 24, -2, -10, 12]","['ZeroDivisionError', 0.125, -0.07142857142857142, -0.08333333333333333, 0.3333333333333333, -0.2, 0.08333333333333333, -1.0, -0.2, 0.16666666666666666]","[0, 2, 8, -14, -12, 3, -5, 12, -1, -5, 6]","[0, 8, -14, -12, 3, -5, 12, -5, 6]",11,7,15,22,error,11,8,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
380,"[23, -4, 25, 4, 17, -6, 6, -1, 20, 1, 13]","[25, -4, 17, 13, 4, 1, -6, 20, -1, 6, 23]","[25, -2, 27, 6, 19, -4, 8, 1, 22, 3, 15]","[46, -8, 50, 8, 34, -12, 12, -2, 40, 2, 26]","[0.043478260869565216, -0.25, 0.04, 0.25, 0.058823529411764705, -0.16666666666666666, 0.16666666666666666, -1.0, 0.05, 1.0, 0.07692307692307693]","[23, -4, 25, 4, 17, -6, 6, -1, 2, 20, 1, 13]","[23, -4, 4, 17, -6, 6, -1, 20, 1, 13]",29,30,33,58,1.0769230769230769,29,21,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
381,"[-19, -9, -25, -7, 2, -8, 24, 4, -3, 4, 22, -25]","[4, -19, 22, 2, -8, -7, -25, -3, -9, 24, 4, -25]","[-17, -7, -23, -5, 4, -6, 26, 6, -1, 6, 24, -23]","[-38, -18, -50, -14, 4, -16, 48, 8, -6, 8, 44, -50]","[-0.05263157894736842, -0.1111111111111111, -0.04, -0.14285714285714285, 0.5, -0.125, 0.041666666666666664, 0.25, -0.3333333333333333, 0.25, 0.045454545454545456, -0.04]","[-19, -9, -25, -7, 2, -8, 24, 4, -3, 4, 22, -25, 2]","[-19, -9, -25, -7, 2, -8, 24, 4, -3, 22, -25]",28,28,32,56,0.375,28,28,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
382,"[-15, -14]","[-14, -15]","[-13, -12]","[-30, -28]","[-0.06666666666666667, -0.07142857142857142]","[-15, 2, -14]",[-15],-29,-29,-25,-58,-0.1380952380952381,-12,error,No-violate,Violate,Violate,No-violate,error,0,1,1,0,error
383,"[9, -24, -20, 4]","[-20, 4, -24, 9]","[11, -22, -18, 6]","[18, -48, -40, 8]","[0.1111111111111111, -0.041666666666666664, -0.05, 0.25]","[9, -24, -20, 4, 2]","[-24, -20, 4]",-15,-15,-11,-30,0.2,6,-16,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
384,"[18, 13, -1, 21, 1, 2, -11, 1, 9, -4, 3]","[-1, 21, 2, -11, 1, -4, 1, 3, 18, 13, 9]","[20, 15, 1, 23, 3, 4, -9, 3, 11, -2, 5]","[36, 26, -2, 42, 2, 4, -22, 2, 18, -8, 6]","[0.05555555555555555, 0.07692307692307693, -1.0, 0.047619047619047616, 1.0, 0.5, -0.09090909090909091, 1.0, 0.1111111111111111, -0.25, 0.3333333333333333]","[18, 13, -1, 21, 1, 2, -11, 1, 9, -4, 3, 2]","[18, 13, -1, 1, 2, -11, 1, 9, -4, 3]",31,31,35,62,1.5,31,31,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
385,"[17, -3, -16, -11, -15, -1, -17, -20, 24, 14, -16, 16, 4, 6]","[17, 24, 14, -3, -15, -16, 6, 4, 16, -16, -20, -17, -11, -1]","[19, -1, -14, -9, -13, 1, -15, -18, 26, 16, -14, 18, 6, 8]","[34, -6, -32, -22, -30, -2, -34, -40, 48, 28, -32, 32, 8, 12]","[0.058823529411764705, -0.3333333333333333, -0.0625, -0.09090909090909091, -0.06666666666666667, -1.0, -0.058823529411764705, -0.05, 0.041666666666666664, 0.07142857142857142, -0.0625, 0.0625, 0.25, 0.16666666666666666]","[2, 17, -3, -16, -11, -15, -1, -17, -20, 24, 14, -16, 16, 4, 6]","[17, -3, -16, -11, -15, -1, -17, -20, 24, 14, 16, 4, 6]",38,41,42,76,0.41666666666666663,38,38,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
386,"[11, 7, 10, -23, 1, -13, 0, -8, 14, -18, -1]","[-8, 0, 14, 10, 11, -18, -23, 7, -13, 1, -1]","[13, 9, 12, -21, 3, -11, 2, -6, 16, -16, 1]","[22, 14, 20, -46, 2, -26, 0, -16, 28, -36, -2]","[0.09090909090909091, 0.14285714285714285, 0.1, -0.043478260869565216, 1.0, -0.07692307692307693, 'ZeroDivisionError', -0.125, 0.07142857142857142, -0.05555555555555555, -1.0]","[11, 7, 10, -23, 1, -13, 0, -8, 2, 14, -18, -1]","[11, 7, 10, 1, -13, 0, -8, 14, -18, -1]",18,24,22,36,error,18,18,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
387,"[15, -5, 5, 1, 4, -10, -20, 12]","[5, 15, -20, -5, 4, -10, 1, 12]","[17, -3, 7, 3, 6, -8, -18, 14]","[30, -10, 10, 2, 8, -20, -40, 24]","[0.06666666666666667, -0.2, 0.2, 1.0, 0.25, -0.1, -0.05, 0.08333333333333333]","[15, -5, 5, 1, 4, -10, 2, -20, 12]","[15, -5, 1, 4, -10, -20, 12]",10,20,14,20,1.25,10,10,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
388,[12],[12],[14],[24],[0.08333333333333333],"[2, 12]",[],error,error,error,error,error,14,error,error,error,error,error,error,error,error,error,error,error
389,"[-22, 4, 10, -1, 10, 13, 16, -2, -13]","[-1, 13, 10, 10, 4, -2, -22, 16, -13]","[-20, 6, 12, 1, 12, 15, 18, 0, -11]","[-44, 8, 20, -2, 20, 26, 32, -4, -26]","[-0.045454545454545456, 0.25, 0.1, -1.0, 0.1, 0.07692307692307693, 0.0625, -0.5, -0.07692307692307693]","[-22, 2, 4, 10, -1, 10, 13, 16, -2, -13]","[-22, 4, 10, -1, 10, 13, 16, -2]",29,23,33,58,0.35,29,29,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
390,"[-15, -2, 0, 20, -11, 3, -2, 6, -1]","[-1, -11, 20, 6, -15, 0, -2, -2, 3]","[-13, 0, 2, 22, -9, 5, 0, 8, 1]","[-30, -4, 0, 40, -22, 6, -4, 12, -2]","[-0.06666666666666667, -0.5, 'ZeroDivisionError', 0.05, -0.09090909090909091, 0.3333333333333333, -0.5, 0.16666666666666666, -1.0]","[-15, -2, 0, 20, -11, 3, -2, 6, 2, -1]","[-2, 0, 20, -11, 3, -2, 6, -1]",20,26,24,40,error,20,20,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
391,"[7, 18, -11]","[-11, 18, 7]","[9, 20, -9]","[14, 36, -22]","[0.14285714285714285, 0.05555555555555555, -0.09090909090909091]","[2, 7, 18, -11]","[7, -11]",25,25,29,50,0.1984126984126984,25,-4,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
392,"[-27, 22, -13, -27, -12, -4, 8, 19, -19, 19, -32, 18, 12]","[12, 19, 19, 22, -32, -27, -12, 18, -19, -27, -4, -13, 8]","[-25, 24, -11, -25, -10, -2, 10, 21, -17, 21, -30, 20, 14]","[-54, 44, -26, -54, -24, -8, 16, 38, -38, 38, -64, 36, 24]","[-0.037037037037037035, 0.045454545454545456, -0.07692307692307693, -0.037037037037037035, -0.08333333333333333, -0.25, 0.125, 0.05263157894736842, -0.05263157894736842, 0.05263157894736842, -0.03125, 0.05555555555555555, 0.08333333333333333]","[-27, 22, -13, -27, -12, -4, 8, 2, 19, -19, 19, -32, 18, 12]","[-27, 22, -13, -27, -12, -4, 8, 19, -19, 19, 18, 12]",30,41,34,60,0.17763157894736842,30,37,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
393,"[-24, -11, 9, -23, -24, -27]","[-27, -11, -24, -23, 9, -24]","[-22, -9, 11, -21, -22, -25]","[-48, -22, 18, -46, -48, -54]","[-0.041666666666666664, -0.09090909090909091, 0.1111111111111111, -0.043478260869565216, -0.041666666666666664, -0.037037037037037035]","[2, -24, -11, 9, -23, -24, -27]","[-24, -11, 9, -23, -24]",-2,-14,2,-4,0.06763285024154589,-2,-2,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
