,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1011,"[-11, 15, -11, 0, -23, -3, -18, -9, -15, -22, -29, -8, -17, -30]","[15, -9, -17, -15, 0, -23, -3, -11, -18, -22, -30, -29, -8, -11]","[-9, 17, -9, 2, -21, -1, -16, -7, -13, -20, -27, -6, -15, -28]","[-22, 30, -22, 0, -46, -6, -36, -18, -30, -44, -58, -16, -34, -60]","[-0.09090909090909091, 0.06666666666666667, -0.09090909090909091, 'ZeroDivisionError', -0.043478260869565216, -0.3333333333333333, -0.05555555555555555, -0.1111111111111111, -0.06666666666666667, -0.045454545454545456, -0.034482758620689655, -0.125, -0.058823529411764705, -0.03333333333333333]","[-11, 15, -11, 0, -23, -3, -18, -9, -15, 2, -22, -29, -8, -17, -30]","[-11, 15, -11, 0, -23, -3, -9, -15, -22, -29, -8, -17, -30]",-181,-181,-153,-362,error,-179,-163,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
1012,"[-6, 17, 16, 0, 12, -8, 13, 6, -5]","[-8, -5, 13, 6, -6, 17, 16, 12, 0]","[-4, 19, 18, 2, 14, -6, 15, 8, -3]","[-12, 34, 32, 0, 24, -16, 26, 12, -10]","[-0.16666666666666666, 0.058823529411764705, 0.0625, 'ZeroDivisionError', 0.08333333333333333, -0.125, 0.07692307692307693, 0.16666666666666666, -0.2]","[-6, 17, 2, 16, 0, 12, -8, 13, 6, -5]","[-6, 17, 16, 0, 12, -8, 13, 6]",45,45,63,90,error,47,50,No-violate,No-violate,error,No-violate,Violate,0,0,error,0,1
1013,"[-28, 13, -1, -6, -20, -22, -26, -30, -20, 25, 25, 1, 28, 29]","[-22, -6, -28, -20, -30, 28, 13, -1, -26, 25, 29, 1, 25, -20]","[-26, 15, 1, -4, -18, -20, -24, -28, -18, 27, 27, 3, 30, 31]","[-56, 26, -2, -12, -40, -44, -52, -60, -40, 50, 50, 2, 56, 58]","[-0.03571428571428571, 0.07692307692307693, -1.0, -0.16666666666666666, -0.05, -0.045454545454545456, -0.038461538461538464, -0.03333333333333333, -0.05, 0.04, 0.04, 1.0, 0.03571428571428571, 0.034482758620689655]","[-28, 13, -1, -6, -20, -22, 2, -26, -30, -20, 25, 25, 1, 28, 29]","[-28, -1, -6, -20, -22, -26, -30, -20, 25, 25, 1, 28, 29]",-32,-32,-4,-64,-0.1925102483723175,-30,-45,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1014,"[-13, 25, -9, 0, 33, 20]","[0, 20, -9, 33, 25, -13]","[-11, 27, -7, 2, 35, 22]","[-26, 50, -18, 0, 66, 40]","[-0.07692307692307693, 0.04, -0.1111111111111111, 'ZeroDivisionError', 0.030303030303030304, 0.05]","[-13, 25, 2, -9, 0, 33, 20]","[-13, 25, -9, 33, 20]",56,56,68,112,error,58,56,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
1015,"[9, -23, -4, -2, -15, 5]","[-2, 5, -23, 9, -15, -4]","[11, -21, -2, 0, -13, 7]","[18, -46, -8, -4, -30, 10]","[0.1111111111111111, -0.043478260869565216, -0.25, -0.5, -0.06666666666666667, 0.2]","[9, 2, -23, -4, -2, -15, 5]","[9, -23, -2, -15, 5]",-30,-30,-18,-60,-0.5490338164251207,-28,-26,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1016,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1017,"[5, -17]","[-17, 5]","[7, -15]","[10, -34]","[0.2, -0.058823529411764705]","[2, 5, -17]",[-17],-12,-12,-8,-24,0.1411764705882353,-10,-17,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1018,"[3, -2, -17, -9]","[3, -9, -17, -2]","[5, 0, -15, -7]","[6, -4, -34, -18]","[0.3333333333333333, -0.5, -0.058823529411764705, -0.1111111111111111]","[2, 3, -2, -17, -9]","[3, -17, -9]",-25,-25,-17,-50,-0.3366013071895425,-23,-23,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1019,"[-23, 3, -15, 18, 4, 5, 8, -10, -23, 17, -21, -9]","[-21, -9, 5, -15, 17, 18, 8, -23, 4, 3, -10, -23]","[-21, 5, -13, 20, 6, 7, 10, -8, -21, 19, -19, -7]","[-46, 6, -30, 36, 8, 10, 16, -20, -46, 34, -42, -18]","[-0.043478260869565216, 0.3333333333333333, -0.06666666666666667, 0.05555555555555555, 0.25, 0.2, 0.125, -0.1, -0.043478260869565216, 0.058823529411764705, -0.047619047619047616, -0.1111111111111111]","[-23, 3, -15, 18, 4, 5, 8, -10, -23, 17, -21, -9, 2]","[-23, 3, -15, 18, 4, 5, 8, -10, -23, 17, -9]",-46,-46,-22,-92,0.6103590711646978,-44,-25,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1020,"[-2, -26, -15, -20, -14, 32, -29, -15, -25, 27, 32, -26, 2]","[-14, -29, 32, -20, -15, -2, 27, -26, -25, 2, -15, 32, -26]","[0, -24, -13, -18, -12, 34, -27, -13, -23, 29, 34, -24, 4]","[-4, -52, -30, -40, -28, 64, -58, -30, -50, 54, 64, -52, 4]","[-0.5, -0.038461538461538464, -0.06666666666666667, -0.05, -0.07142857142857142, 0.03125, -0.034482758620689655, -0.06666666666666667, -0.04, 0.037037037037037035, 0.03125, -0.038461538461538464, 0.5]","[-2, -26, -15, -20, -14, 32, -29, 2, -15, -25, 27, 32, -26, 2]","[-2, -15, -20, -14, 32, -29, -15, -25, 27, 32, -26, 2]",-79,-79,-53,-158,-0.3066307032686343,-77,-53,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1021,"[7, 8, -14, 6, -21, -2, 16]","[-14, -21, 7, 6, -2, 16, 8]","[9, 10, -12, 8, -19, 0, 18]","[14, 16, -28, 12, -42, -4, 32]","[0.14285714285714285, 0.125, -0.07142857142857142, 0.16666666666666666, -0.047619047619047616, -0.5, 0.0625]","[7, 8, -14, 6, -21, -2, 16, 2]","[7, 8, -14, -21, -2, 16]",0,0,14,0,-0.12202380952380953,2,-6,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1022,"[1, 8, -15, -2, -3]","[-2, 8, -3, 1, -15]","[3, 10, -13, 0, -1]","[2, 16, -30, -4, -6]","[1.0, 0.125, -0.06666666666666667, -0.5, -0.3333333333333333]","[1, 8, -15, -2, -3, 2]","[1, 8, -15, -3]",-11,-11,-1,-22,0.22500000000000003,-9,-9,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
