,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1708,"[-22, -15, -14, -13, -11, -9, 10]","[-22, -15, -14, -13, -11, -9, 10]","[-20, -13, -12, -11, -9, -7, 12]","[-44, -30, -28, -26, -22, -18, 20]","[-0.1111111111111111, -0.09090909090909091, -0.07692307692307693, -0.07142857142857142, -0.06666666666666667, -0.045454545454545456, 0.1]","[-22, -15, -14, -13, -11, -9, 2, 10]","[-22, -15, -14, -11, -9, 10]",-13,-13,-11,-26,-0.07142857142857142,-12.0,-12.5,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1709,"[-27, -25, -23, -20, -13, -4, 2, 3, 3, 14]","[-27, -25, -23, -20, -13, -4, 2, 3, 3, 14]","[-25, -23, -21, -18, -11, -2, 4, 5, 5, 16]","[-54, -50, -46, -40, -26, -8, 4, 6, 6, 28]","[-0.25, -0.07692307692307693, -0.05, -0.043478260869565216, -0.04, -0.037037037037037035, 0.07142857142857142, 0.3333333333333333, 0.3333333333333333, 0.5]","[-27, -25, -23, -20, -13, -4, 2, 2, 3, 3, 14]","[-27, -25, -23, -20, -13, 2, 3, 3, 14]",-8.5,-8.5,-6.5,-17.0,-0.03851851851851852,-4.0,-13,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1710,[],[],[],[],[],[2],[],error,error,error,error,error,2.0,error,error,error,error,error,error,error,error,error,error,error
1711,"[-19, -16, -15, -14, -11, -7, -2, 8, 8, 9, 11, 11, 13]","[-19, -16, -15, -14, -11, -7, -2, 8, 8, 9, 11, 11, 13]","[-17, -14, -13, -12, -9, -5, 0, 10, 10, 11, 13, 13, 15]","[-38, -32, -30, -28, -22, -14, -4, 16, 16, 18, 22, 22, 26]","[-0.5, -0.14285714285714285, -0.09090909090909091, -0.07142857142857142, -0.06666666666666667, -0.0625, -0.05263157894736842, 0.07692307692307693, 0.09090909090909091, 0.09090909090909091, 0.1111111111111111, 0.125, 0.125]","[-19, -16, -15, -14, -11, -7, -2, 2, 8, 8, 9, 11, 11, 13]","[-19, -16, -15, -11, -7, -2, 8, 8, 9, 11, 11, 13]",-2,-2,0,-4,-0.05263157894736842,0.0,3.0,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1712,[11],[11],[13],[22],[0.09090909090909091],"[2, 11]",[],11,11,13,22,0.09090909090909091,6.5,error,No-violate,No-violate,No-violate,Violate,error,0,0,0,1,error
1713,"[-16, -6, -1, 0, 2]","[-16, -6, -1, 0, 2]","[-14, -4, 1, 2, 4]","[-32, -12, -2, 0, 4]","[-0.16666666666666666, -1.0, 'ZeroDivisionError', 0.5, -0.0625]","[-16, -6, -1, 0, 2, 2]","[-6, -1, 0, 2]",-1,-1,1,-2,error,-0.5,-0.5,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
1714,"[-25, -21, -19, -13, -4, 2, 6, 7, 11, 15, 19, 26, 29]","[-25, -21, -19, -13, -4, 2, 6, 7, 11, 15, 19, 26, 29]","[-23, -19, -17, -11, -2, 4, 8, 9, 13, 17, 21, 28, 31]","[-50, -42, -38, -26, -8, 4, 12, 14, 22, 30, 38, 52, 58]","[-0.25, -0.07692307692307693, -0.05263157894736842, -0.047619047619047616, -0.04, 0.034482758620689655, 0.038461538461538464, 0.05263157894736842, 0.06666666666666667, 0.09090909090909091, 0.14285714285714285, 0.16666666666666666, 0.5]","[-25, -21, -19, -13, -4, 2, 2, 6, 7, 11, 15, 19, 26, 29]","[-25, -21, -19, -13, -4, 2, 6, 7, 15, 19, 26, 29]",6,6,8,12,0.038461538461538464,4.0,4.0,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
1715,"[-22, -15, -12, -5, -1, 3, 4, 12, 16, 19, 22, 23]","[-22, -15, -12, -5, -1, 3, 4, 12, 16, 19, 22, 23]","[-20, -13, -10, -3, 1, 5, 6, 14, 18, 21, 24, 25]","[-44, -30, -24, -10, -2, 6, 8, 24, 32, 38, 44, 46]","[-1.0, -0.2, -0.08333333333333333, -0.06666666666666667, -0.045454545454545456, 0.043478260869565216, 0.045454545454545456, 0.05263157894736842, 0.0625, 0.08333333333333333, 0.25, 0.3333333333333333]","[-22, -15, -12, -5, -1, 2, 3, 4, 12, 16, 19, 22, 23]","[-22, -15, -12, -5, -1, 3, 4, 12, 19, 22, 23]",3.5,3.5,5.5,7.0,0.044466403162055336,3.0,3,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
1716,"[-6, -3, 1, 7]","[-6, -3, 1, 7]","[-4, -1, 3, 9]","[-12, -6, 2, 14]","[-0.3333333333333333, -0.16666666666666666, 0.14285714285714285, 1.0]","[-6, -3, 1, 2, 7]","[-6, -3, 1]",-1.0,-1.0,1.0,-2.0,-0.011904761904761904,1.0,-3,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1717,"[-22, -11, -3, 3, 13, 13, 17, 22]","[-22, -11, -3, 3, 13, 13, 17, 22]","[-20, -9, -1, 5, 15, 15, 19, 24]","[-44, -22, -6, 6, 26, 26, 34, 44]","[-0.3333333333333333, -0.09090909090909091, -0.045454545454545456, 0.045454545454545456, 0.058823529411764705, 0.07692307692307693, 0.07692307692307693, 0.3333333333333333]","[-22, -11, -3, 2, 3, 13, 13, 17, 22]","[-22, -11, -3, 13, 13, 17, 22]",8.0,8.0,10.0,16.0,0.05213903743315508,3.0,13,No-violate,No-violate,No-violate,Violate,Violate,0,0,0,1,1
1718,"[-18, -15, -4, -2, 3, 16, 19]","[-18, -15, -4, -2, 3, 16, 19]","[-16, -13, -2, 0, 5, 18, 21]","[-36, -30, -8, -4, 6, 32, 38]","[-0.5, -0.25, -0.06666666666666667, -0.05555555555555555, 0.05263157894736842, 0.0625, 0.3333333333333333]","[-18, -15, -4, -2, 2, 3, 16, 19]","[-18, -15, -4, 3, 16, 19]",-2,-2,0,-4,-0.05555555555555555,0.0,-0.5,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1719,"[-4, 1, 12, 12, 20, 27]","[-4, 1, 12, 12, 20, 27]","[-2, 3, 14, 14, 22, 29]","[-8, 2, 24, 24, 40, 54]","[-0.25, 0.037037037037037035, 0.05, 0.08333333333333333, 0.08333333333333333, 1.0]","[-4, 1, 2, 12, 12, 20, 27]","[1, 12, 12, 20, 27]",12.0,12.0,14.0,24.0,0.06666666666666667,12.0,12,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1720,"[-14, -10, -5, -4, -2, 0, 3, 5, 5, 9, 9, 10]","[-14, -10, -5, -4, -2, 0, 3, 5, 5, 9, 9, 10]","[-12, -8, -3, -2, 0, 2, 5, 7, 7, 11, 11, 12]","[-28, -20, -10, -8, -4, 0, 6, 10, 10, 18, 18, 20]","[0.2, -0.25, -0.1, 0.1, -0.07142857142857142, 0.1111111111111111, 0.1111111111111111, 'ZeroDivisionError', 0.3333333333333333, -0.2, 0.2, -0.5]","[-14, -10, -5, -4, -2, 0, 2, 3, 5, 5, 9, 9, 10]","[-14, -5, -4, -2, 0, 3, 5, 5, 9, 9, 10]",1.5,1.5,3.5,3.0,error,2.0,3,No-violate,No-violate,error,No-violate,Violate,0,0,error,0,1
1721,"[-10, -7, 1, 5, 6, 8]","[-10, -7, 1, 5, 6, 8]","[-8, -5, 3, 7, 8, 10]","[-20, -14, 2, 10, 12, 16]","[-0.14285714285714285, -0.1, 0.125, 0.16666666666666666, 0.2, 1.0]","[-10, -7, 1, 2, 5, 6, 8]","[-10, -7, 1, 5, 8]",3.0,3.0,5.0,6.0,0.14583333333333331,2.0,1,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
1722,"[-13, -11, -9, -9, -3, -3, -2, -1, 1, 2, 21, 22, 24, 25]","[-13, -11, -9, -9, -3, -3, -2, -1, 1, 2, 21, 22, 24, 25]","[-11, -9, -7, -7, -1, -1, 0, 1, 3, 4, 23, 24, 26, 27]","[-26, -22, -18, -18, -6, -6, -4, -2, 2, 4, 42, 44, 48, 50]","[-1.0, -0.5, -0.3333333333333333, -0.3333333333333333, -0.1111111111111111, -0.1111111111111111, -0.09090909090909091, -0.07692307692307693, 0.04, 0.041666666666666664, 0.045454545454545456, 0.047619047619047616, 0.5, 1.0]","[-13, -11, -9, -9, -3, -3, -2, -1, 1, 2, 2, 21, 22, 24, 25]","[-13, -11, -9, -9, -3, -3, -2, -1, 2, 21, 22, 24, 25]",-1.5,-1.5,0.5,-3.0,-0.08391608391608392,-1.0,-2,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1723,"[-21, -18, -17, -17, -15, -3, 10, 12, 13]","[-21, -18, -17, -17, -15, -3, 10, 12, 13]","[-19, -16, -15, -15, -13, -1, 12, 14, 15]","[-42, -36, -34, -34, -30, -6, 20, 24, 26]","[-0.3333333333333333, -0.06666666666666667, -0.058823529411764705, -0.058823529411764705, -0.05555555555555555, -0.047619047619047616, 0.07692307692307693, 0.08333333333333333, 0.1]","[-21, -18, -17, -17, -15, -3, 2, 10, 12, 13]","[-21, -18, -17, -17, -15, -3, 12, 13]",-15,-15,-13,-30,-0.05555555555555555,-9.0,-16.0,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1724,"[-24, -21, -18, -13, -9, -6, -2, 0, 2, 5, 14, 22, 24, 29]","[-24, -21, -18, -13, -9, -6, -2, 0, 2, 5, 14, 22, 24, 29]","[-22, -19, -16, -11, -7, -4, 0, 2, 4, 7, 16, 24, 26, 31]","[-48, -42, -36, -26, -18, -12, -4, 0, 4, 10, 28, 44, 48, 58]","[-0.1111111111111111, 0.045454545454545456, 0.2, -0.041666666666666664, 0.034482758620689655, 0.07142857142857142, -0.07692307692307693, 'ZeroDivisionError', -0.05555555555555555, -0.5, -0.047619047619047616, 0.5, 0.041666666666666664, -0.16666666666666666]","[-24, -21, -18, -13, -9, -6, -2, 0, 2, 2, 5, 14, 22, 24, 29]","[-24, -18, -13, -9, -6, -2, 0, 2, 5, 14, 22, 24, 29]",-1.0,-1.0,1.0,-2.0,error,0.0,0,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
1725,"[-11, -7, -3, 4]","[-11, -7, -3, 4]","[-9, -5, -1, 6]","[-22, -14, -6, 8]","[-0.3333333333333333, -0.14285714285714285, -0.09090909090909091, 0.25]","[-11, -7, -3, 2, 4]","[-7, -3, 4]",-5.0,-5.0,-3.0,-10.0,-0.11688311688311688,-3.0,-3,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1726,"[-13, 4, 16]","[-13, 4, 16]","[-11, 6, 18]","[-26, 8, 32]","[-0.07692307692307693, 0.0625, 0.25]","[-13, 2, 4, 16]","[4, 16]",4,4,6,8,0.0625,3.0,10.0,No-violate,No-violate,No-violate,Violate,Violate,0,0,0,1,1
1727,"[-30, -23, -20, -6, 2, 9, 13, 14, 17]","[-30, -23, -20, -6, 2, 9, 13, 14, 17]","[-28, -21, -18, -4, 4, 11, 15, 16, 19]","[-60, -46, -40, -12, 4, 18, 26, 28, 34]","[-0.16666666666666666, -0.05, -0.043478260869565216, -0.03333333333333333, 0.058823529411764705, 0.07142857142857142, 0.07692307692307693, 0.1111111111111111, 0.5]","[-30, -23, -20, -6, 2, 2, 9, 13, 14, 17]","[-30, -23, -6, 2, 9, 13, 14, 17]",2,2,4,4,0.058823529411764705,2.0,5.5,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1728,"[-31, -29, -24, -22, -20, -13, -8, -5, -3, -3, -1, 15, 18, 23]","[-31, -29, -24, -22, -20, -13, -8, -5, -3, -3, -1, 15, 18, 23]","[-29, -27, -22, -20, -18, -11, -6, -3, -1, -1, 1, 17, 20, 25]","[-62, -58, -48, -44, -40, -26, -16, -10, -6, -6, -2, 30, 36, 46]","[-1.0, -0.3333333333333333, -0.3333333333333333, -0.2, -0.125, -0.07692307692307693, -0.05, -0.045454545454545456, -0.041666666666666664, -0.034482758620689655, -0.03225806451612903, 0.043478260869565216, 0.05555555555555555, 0.06666666666666667]","[-31, -29, -24, -22, -20, -13, -8, -5, -3, -3, -1, 2, 15, 18, 23]","[-31, -29, -24, -22, -20, -13, -8, -5, -3, -1, 15, 18, 23]",-6.5,-6.5,-4.5,-13.0,-0.04772727272727273,-5.0,-8,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
